Title,Author,URL
"Hyperion (Hyperion Cantos, #1)",Dan Simmons,<![CDATA[https://www.goodreads.com/review/show/8397401708?utm_medium=api&utm_source=rss]]>
Dämmerung: Roman aus Kriegszeiten | Zwei Liebende im finnisch-russischen Winterkrieg (German Edition),Kjell Westö,<![CDATA[https://www.goodreads.com/review/show/8329192713?utm_medium=api&utm_source=rss]]>
"Polar War: Submarines, Spies, and the Struggle for Power in a Melting Arctic",Kenneth R. Rosen,<![CDATA[https://www.goodreads.com/review/show/8374916004?utm_medium=api&utm_source=rss]]>
The Final Problem,Arturo Pérez-Reverte,<![CDATA[https://www.goodreads.com/review/show/8357226739?utm_medium=api&utm_source=rss]]>
The Living and the Dead,Christoffer Carlsson,<![CDATA[https://www.goodreads.com/review/show/8357226294?utm_medium=api&utm_source=rss]]>
Caller Unknown,Oliver Johnson,<![CDATA[https://www.goodreads.com/review/show/8357225318?utm_medium=api&utm_source=rss]]>
Witch Trial,Harriet Tyce,<![CDATA[https://www.goodreads.com/review/show/8357224340?utm_medium=api&utm_source=rss]]>
The Final Score,Don Winslow,<![CDATA[https://www.goodreads.com/review/show/8357222897?utm_medium=api&utm_source=rss]]>
"Die weiße Nacht (Lou & König, #1)",Anne Stern,<![CDATA[https://www.goodreads.com/review/show/8323792990?utm_medium=api&utm_source=rss]]>
The Burning Library,Gilly Macmillan,<![CDATA[https://www.goodreads.com/review/show/8319425585?utm_medium=api&utm_source=rss]]>
A Spy in the Blood,Paul     Warner,<![CDATA[https://www.goodreads.com/review/show/8319421068?utm_medium=api&utm_source=rss]]>
A Stranger in Corfu,Alex Preston,<![CDATA[https://www.goodreads.com/review/show/8319405945?utm_medium=api&utm_source=rss]]>
The Worm Ourorobos,E.R. Eddison,<![CDATA[https://www.goodreads.com/review/show/8297407801?utm_medium=api&utm_source=rss]]>
The Gormenghast Trilogy,Mervyn Peake,<![CDATA[https://www.goodreads.com/review/show/8297406215?utm_medium=api&utm_source=rss]]>
Everybody Loves Our Dollars - How Money Laundering Won,Oliver Bullough,<![CDATA[https://www.goodreads.com/review/show/8296661086?utm_medium=api&utm_source=rss]]>
Radical Cartography: How Changing Our Maps Can Change Our World,William Rankin,<![CDATA[https://www.goodreads.com/review/show/8273261045?utm_medium=api&utm_source=rss]]>
"The Elements of Power: A Story of War, Technology, and the Dirtiest Supply Chain on Earth",Nicolas Niarchos,<![CDATA[https://www.goodreads.com/review/show/8248740284?utm_medium=api&utm_source=rss]]>
Red Heart,Max Harms,<![CDATA[https://www.goodreads.com/review/show/8242099607?utm_medium=api&utm_source=rss]]>
Das ABC der Apokalypse: NATO-Offiziere erzählen den Dritten Weltkrieg (Krieg und Konflikt 27) (German Edition),Armin Wagner,<![CDATA[https://www.goodreads.com/review/show/8209484261?utm_medium=api&utm_source=rss]]>
The Chauvinist Threat: Russia's War and the West's Response,Sabine Fischer,<![CDATA[https://www.goodreads.com/review/show/8092141890?utm_medium=api&utm_source=rss]]>
Biological War: A Scenario,Annie Jacobsen,<![CDATA[https://www.goodreads.com/review/show/8125314365?utm_medium=api&utm_source=rss]]>
The Girl In Cell A,Vaseem Khan,<![CDATA[https://www.goodreads.com/review/show/7577765703?utm_medium=api&utm_source=rss]]>
The Cat (Penguin Modern Classics),Georges Simenon,<![CDATA[https://www.goodreads.com/review/show/8074368806?utm_medium=api&utm_source=rss]]>
